CD_Rank,College_Name,College_URL,Location,Approvals,NAAC_Grade,First_Year_Fees,Avg_Package,Highest_Package,Rating,Reviews,National_Ranking,college_code,Match_Score
#1,"R V College of Engineering - [RVCE], Bangalore",https://collegedunia.com/college/14673-r-v-college-of-engineering-rvce-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A+,1332840.0,1252400.0,6700000.0,3.9,"Based on 438 User
Reviews",85.0,E005,100.0
#2,"BMS College of Engineering - [BMSCE], Bangalore",https://collegedunia.com/college/5540-bms-college-of-engineering-bmsce-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A++,1204400.0,1140000.0,5150000.0,4.1,"Based on 365 User
Reviews",96.0,E003,100.0
#3,"PES University - [PESU], Bangalore",https://collegedunia.com/university/28294-pes-university-pesu-bangalore,"Bangalore, Karnataka","AICTE, UGC Approved",A+,2210000.0,1010000.0,6500000.0,3.9,"Based on 524 User
Reviews",140.0,E009,100.0
#4,"Ramaiah Institute of Technology - [RIT], Bangalore",https://collegedunia.com/college/5621-ramaiah-institute-of-technology-rit-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A+,1204400.0,766000.0,5000000.0,4.0,"Based on 632 User
Reviews",143.0,E006,100.0
#5,"Sri Jayachamarajendra College of Engineering - [SJCE], Mysore",https://collegedunia.com/college/15219-sri-jayachamarajendra-college-of-engineering-sjce-mysore,"Mysore, Karnataka","AICTE, NBA Approved",,486440.0,5600000.0,,4.1,"Based on 96 User
Reviews",176.0,E021,100.0
#6,"JSS Science and Technology University -[JSSSTU], Mysore",https://collegedunia.com/university/60372-jss-science-and-technology-university-jssstu-mysore,"Mysore, Karnataka","AICTE, UGC, NBA Approved",B++,1204400.0,6000000.0,,4.2,"Based on 78 User
Reviews",190.0,E284,100.0
#7,"University Visvesvaraya College of Engineering - [UVCE], Bangalore",https://collegedunia.com/college/28204-university-visvesvaraya-college-of-engineering-uvce-bangalore,"Bangalore, Karnataka",AICTE Approved,,198330.0,2850000.0,,3.8,"Based on 102 User
Reviews",196.0,E001,100.0
#8,"Dayananda Sagar College of Engineering - [DSCE], Bangalore",https://collegedunia.com/college/28562-dayananda-sagar-college-of-engineering-dsce-bangalore,"Bangalore, Karnataka","AICTE, UGC, NBA Approved",A,1204400.0,750000.0,2000000.0,4.0,"Based on 442 User
Reviews",202.0,E007,100.0
#9,"JSS Academy of Technical Education - [JSSATE], Bangalore",https://collegedunia.com/college/55794-jss-academy-of-technical-education-jssate-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A+,509740.0,1000000.0,4500000.0,3.8,"Based on 118 User
Reviews",211.0,E082,100.0
#10,"PES Institute of Technology and Management, Bangalore",https://collegedunia.com/university/56859-pes-institute-of-technology-and-management-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A,,330000.0,1200000.0,3.7,"Based on 77 User
Reviews",212.0,E008,100.0
#11,"KLE Technological University, Hubli",https://collegedunia.com/university/12953-kle-technological-university-hubli,"Hubli, Karnataka","AICTE, UGC Approved",A,1204400.0,530000.0,4638000.0,4.2,"Based on 223 User
Reviews",224.0,E030,100.0
#12,"Bangalore Institute of Technology - [BIT], Bangalore",https://collegedunia.com/college/12989-bangalore-institute-of-technology-bit-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",,1144352.0,1000000.0,5800000.0,3.8,"Based on 270 User
Reviews",242.0,E004,100.0
#13,"NIE Institute of Technology - [NIEIT], Mysore",https://collegedunia.com/college/14394-nie-institute-of-technology-nieit-mysore,"Mysore, Karnataka","AICTE, UGC, NBA Approved",,139970.0,975000.0,5600000.0,4.0,"Based on 73 User
Reviews",250.0,E022,100.0
#14,"The National Institute of Engineering - [NIE], Mysore",https://collegedunia.com/college/15466-the-national-institute-of-engineering-nie-mysore,"Mysore, Karnataka","AICTE, UGC Approved",B++,,1050000.0,7000000.0,4.0,"Based on 315 User
Reviews",258.0,E056,100.0
#15,"BMS Institute of Technology and Management - [BMSIT], Bangalore",https://collegedunia.com/college/12944-bms-institute-of-technology-and-management-bmsit-bangalore,"Bangalore, Karnataka",NBA Approved,A,,807000.0,4640000.0,4.0,"Based on 273 User
Reviews",261.0,E008,100.0
#16,"Siddaganga Institute of Technology - [SIT], Tumkur",https://collegedunia.com/college/15126-siddaganga-institute-of-technology-sit-tumkur,"Tumkur, Karnataka","AICTE, NBA Approved",A++,1176510.0,900000.0,3288000.0,3.9,"Based on 181 User
Reviews",277.0,E016,100.0
#17,"Nitte Meenakshi Institute of Technology - [NMIT] (Deemed to be University), Bangalore",https://collegedunia.com/college/14500-nitte-meenakshi-institute-of-technology-nmit-deemed-to-be-university-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A+,1400000.0,5900000.0,,3.9,"Based on 324 User
Reviews",292.0,E008,100.0
#18,"RV Institute of Technology and Management - [RVITM], Bangalore",https://collegedunia.com/college/62191-rv-institute-of-technology-and-management-rvitm-bangalore,"Bangalore, Karnataka",AICTE Approved,,,1244000.0,3300000.0,4.0,"Based on 15 User
Reviews",297.0,E008,100.0
#19,"New Horizon College of Engineering - [NHCE], Bangalore",https://collegedunia.com/college/14483-new-horizon-college-of-engineering-nhce-bangalore,"Bangalore, Karnataka","AICTE, UGC, NBA Approved",A,1500000.0,650000.0,4250000.0,4.2,"Based on 253 User
Reviews",298.0,E099,100.0
#20,"RNS Institute of Technology - [RNSIT], Bangalore",https://collegedunia.com/college/14664-rns-institute-of-technology-rnsit-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A+,1204400.0,5000000.0,,3.9,"Based on 303 User
Reviews",300.0,E008,100.0
#21,"B. N. M. Institute of Technology - [BNMIT], Bangalore",https://collegedunia.com/college/12946-b-n-m-institute-of-technology-bnmit-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A,,616000.0,3428000.0,3.8,"Based on 104 User
Reviews",303.0,E008,100.0
#22,"Sir M Visvesvaraya Institute of Technology - [Sir MVIT], Bangalore",https://collegedunia.com/college/15151-sir-m-visvesvaraya-institute-of-technology-sir-mvit-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A,,598000.0,1600000.0,3.8,"Based on 200 User
Reviews",304.0,E008,100.0
#23,"KLS Gogte Institute of Technology - [KLS GIT], Belgaum",https://collegedunia.com/college/28571-kls-gogte-institute-of-technology-kls-git-belgaum,"Belgaum, Karnataka","AICTE, NBA Approved",A+,1248348.0,654000.0,5100000.0,3.7,"Based on 146 User
Reviews",307.0,E037,100.0
#24,"Dr. Ambedkar Institute of Technology - [AIT], Bangalore",https://collegedunia.com/college/13369-dr-ambedkar-institute-of-technology-ait-bangalore,"Bangalore, Karnataka","AICTE, UGC, NBA Approved",A+,259160.0,1975000.0,,3.7,"Based on 190 User
Reviews",308.0,E004,100.0
#25,"SDM College of Engineering and Technology - [SDMCET], Dharwad",https://collegedunia.com/college/14820-sdm-college-of-engineering-and-technology-sdmcet-dharwad,"Dharwad, Karnataka","AICTE, NBA Approved",A,1155010.0,659000.0,4394000.0,4.2,"Based on 271 User
Reviews",313.0,E034,100.0
#26,"M.S. Ramaiah University of Applied Sciences - [MSRUAS], Bangalore",https://collegedunia.com/university/54840-ms-ramaiah-university-of-applied-sciences-msruas-bangalore,"Bangalore, Karnataka","DCI, AICTE, PCI, BCI, UGC Approved",A+,2100000.0,700000.0,5200000.0,4.0,"Based on 155 User
Reviews",317.0,E235,100.0
#27,"Vidyavardhaka College of Engineering - [VVCE], Mysore",https://collegedunia.com/college/19173-vidyavardhaka-college-of-engineering-vvce-mysore,"Mysore, Karnataka","AICTE, UGC, NBA Approved",A,1332840.0,4130000.0,,4.1,"Based on 127 User
Reviews",320.0,E071,100.0
#28,"CMR Institute of Technology - [CMRIT], Bangalore",https://collegedunia.com/college/13134-cmr-institute-of-technology-cmrit-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A++,1204000.0,699000.0,4410000.0,4.0,"Based on 480 User
Reviews",321.0,E008,100.0
#29,"Government Sri Krishnarajendra Silver Jubilee Technological Institute, Bangalore",https://collegedunia.com/college/13620-government-sri-krishnarajendra-silver-jubilee-technological-institute-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",,417060.0,,,3.6,"Based on 11 User
Reviews",325.0,E204,100.0
#31,"Acharya Institute of Technology - [AIT], Bangalore",https://collegedunia.com/college/12715-acharya-institute-of-technology-ait-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",,1204400.0,600000.0,6500000.0,4.1,"Based on 364 User
Reviews",329.0,E008,100.0
#32,"Malnad College of Engineering - [MCE], Hassan",https://collegedunia.com/college/14247-malnad-college-of-engineering-mce-hassan,"Hassan, Karnataka","AICTE, UGC, NBA Approved",B+,486440.0,1250000.0,,4.0,"Based on 78 User
Reviews",331.0,E024,100.0
#33,"Sahyadri College of Engineering & Management (SCEM), Mangalore",https://collegedunia.com/college/14894-sahyadri-college-of-engineering-and-management-scem-mangalore,"Mangalore, Karnataka","AICTE, NBA Approved",A,1204400.0,400000.0,4000000.0,4.1,"Based on 108 User
Reviews",332.0,E160,100.0
#34,"BGS & SJB Group of Institutions, Bangalore",https://collegedunia.com/college/15217-bgs-and-sjb-group-of-institutions-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A+,1204400.0,552000.0,2700000.0,3.6,"Based on 118 User
Reviews",335.0,E115,100.0
#35,"Sri Siddhartha Institute of Technology - [SSIT], Tumkur",https://collegedunia.com/university/15267-sri-siddhartha-institute-of-technology-ssit-tumkur,"Tumkur, Karnataka","AICTE, NBA Approved",A+,1600000.0,1200000.0,,4.0,"Based on 50 User
Reviews",337.0,E017,100.0
#36,"KLE Dr. M.S.Sheshgiri College of Engineering & Technology, Belgaum",https://collegedunia.com/college/28567-kle-dr-mssheshgiri-college-of-engineering-and-technology-belgaum,"Belgaum, Karnataka","AICTE, NBA Approved",A,973698.0,3400000.0,,3.9,"Based on 46 User
Reviews",339.0,E036,100.0
#37,"Dayananda Sagar Academy of Technology and Management - [DSATM], Bangalore",https://collegedunia.com/college/13315-dayananda-sagar-academy-of-technology-and-management-dsatm-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A+,1312840.0,536000.0,2511000.0,4.0,"Based on 180 User
Reviews",342.0,E212,100.0
#38,"PES College of Engineering - [PESCE], Mandya",https://collegedunia.com/college/14554-pes-college-of-engineering-pesce-mandya,"Mandya, Karnataka","AICTE, NBA Approved",A,374856.0,530000.0,1450000.0,3.9,"Based on 604 User
Reviews",343.0,E023,100.0
#39,"St Joseph Engineering College - [SJEC], Mangalore",https://collegedunia.com/college/15312-st-joseph-engineering-college-sjec-mangalore,"Mangalore, Karnataka","AICTE, NBA Approved",A+,976440.0,2750000.0,,4.0,"Based on 78 User
Reviews",346.0,E129,100.0
#40,"Global Academy of Technology - [GAT], Bangalore",https://collegedunia.com/college/13557-global-academy-of-technology-gat-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A,880000.0,517000.0,2200000.0,3.9,"Based on 103 User
Reviews",347.0,E103,100.0
#41,"MVJ College of Engineering - [MVJCE], Bangalore",https://collegedunia.com/college/14164-mvj-college-of-engineering-mvjce-bangalore,"Bangalore, Karnataka","AICTE, UGC, NBA Approved",B++,327200.0,2770000.0,,3.8,"Based on 254 User
Reviews",350.0,E011,100.0
#42,"GSSS Institute of Engineering and Technology for Women - [GSSSIETW], Mysore",https://collegedunia.com/college/13516-gsss-institute-of-engineering-and-technology-for-women-gsssietw-mysore,"Mysore, Karnataka","AICTE, NBA Approved",A,900000.0,680000.0,3400000.0,4.3,"Based on 50 User
Reviews",352.0,E133,100.0
#43,"University BDT College of Engineering, Visvesvaraya Technological University - [UBDTCE], Davanagere",https://collegedunia.com/college/28248-university-bdt-college-of-engineering-visvesvaraya-technological-university-ubdtce-davanagere,"Davanagere, Karnataka","AICTE, NBA Approved",,472420.0,,,3.5,"Based on 27 User
Reviews",353.0,E061,100.0
#44,"Sapthagiri NPS University, Bangalore",https://collegedunia.com/university/14932-sapthagiri-nps-university-bangalore,"Bangalore, Karnataka","AICTE, UGC Approved",,1100000.0,600000.0,3500000.0,3.6,"Based on 109 User
Reviews",357.0,E108,100.0
#45,"Cambridge Institute of Technology - [CiTech], Bangalore",https://collegedunia.com/college/56039-cambridge-institute-of-technology-citech-bangalore,"Bangalore, Karnataka","AICTE, UGC, NBA Approved",A+,1204000.0,720000.0,5350000.0,4.1,"Based on 228 User
Reviews",358.0,E008,100.0
#46,"Basaveshwar Engineering College - [BEC], Bagalkot",https://collegedunia.com/college/13006-basaveshwar-engineering-college-bec-bagalkot,"Bagalkot, Karnataka","AICTE, NBA Approved",A,,,,3.8,"Based on 67 User
Reviews",360.0,E031,100.0
#47,"KLE Institute of Technology - [KLEIT], Hubli",https://collegedunia.com/college/56129-kle-institute-of-technology-kleit-hubli,"Hubli, Karnataka","AICTE, NBA Approved",,1171348.0,462000.0,800000.0,3.6,"Based on 29 User
Reviews",364.0,E166,100.0
#48,"Bapuji Institute of Engineering and Technology - [BIET], Davanagere",https://collegedunia.com/college/13000-bapuji-institute-of-engineering-and-technology-biet-davanagere,"Davanagere, Karnataka","AICTE, UGC, NBA Approved",A,,497000.0,3000000.0,3.8,"Based on 90 User
Reviews",365.0,E062,100.0
#49,"Jawaharlal Nehru National College of Engineering - [JNNCE], Shimoga",https://collegedunia.com/college/13863-jawaharlal-nehru-national-college-of-engineering-jnnce-shimoga,"Shimoga, Karnataka","AICTE, NBA Approved",A,948884.0,2400000.0,,3.7,"Based on 78 User
Reviews",367.0,E065,100.0
#50,"Dayananda Sagar University - [DSU], Bangalore",https://collegedunia.com/university/57903-dayananda-sagar-university-dsu-bangalore,"Bangalore, Karnataka","AICTE, PCI, INC, BCI, UGC Approved",A+,1648000.0,552000.0,3500000.0,4.1,"Based on 224 User
Reviews",368.0,E240,100.0
#51,"Visvesvaraya Technological University - [VTU], Belgaum",https://collegedunia.com/university/25633-visvesvaraya-technological-university-vtu-belgaum,"Belgaum, Karnataka","AICTE, UGC Approved",B+,450000.0,540000.0,,3.7,"Based on 11508 User
Reviews",371.0,E278,100.0
#52,"Ballari Institute of Technology and Management - [BITM], Bellary",https://collegedunia.com/college/12985-ballari-institute-of-technology-and-management-bitm-bellary,"Bellary, Karnataka","AICTE, UGC, NBA Approved",A+,,4000000.0,,4.1,"Based on 63 User
Reviews",374.0,E075,100.0
#53,"Mangalore Institute of Technology and Engineering - [MITE], Mangalore",https://collegedunia.com/college/14263-mangalore-institute-of-technology-and-engineering-mite-mangalore,"Mangalore, Karnataka",AICTE Approved,A+,1046000.0,5000000.0,,4.1,"Based on 115 User
Reviews",375.0,E151,100.0
#54,"BGS College of Engineering and Technology - [BGSCET], Bangalore",https://collegedunia.com/college/64467-bgs-college-of-engineering-and-technology-bgscet-bangalore,"Bangalore, Karnataka",AICTE Approved,,1080000.0,,,4.4,"Based on 4 User
Reviews",378.0,E088,100.0
#55,"PDA College of Engineering, Gulbarga",https://collegedunia.com/college/14549-pda-college-of-engineering-gulbarga,"Gulbarga, Karnataka","AICTE, UGC, NBA Approved",,880000.0,600000.0,,3.7,"Based on 83 User
Reviews",379.0,E041,100.0
#56,"Sri Jagadguru Chandrashekaranatha Swamiji Institute of Technology - [SJCIT], Chickballapur",https://collegedunia.com/college/15218-sri-jagadguru-chandrashekaranatha-swamiji-institute-of-technology-sjcit-chickballapur,"Chickballapur, Karnataka","AICTE, UGC, NBA Approved",A+,880000.0,560000.0,2800000.0,3.7,"Based on 81 User
Reviews",386.0,E014,100.0
#58,"The Oxford College of Engineering, Bangalore",https://collegedunia.com/college/15468-the-oxford-college-of-engineering-bangalore,"Bangalore, Karnataka","AICTE, UGC, NBA Approved",A,1500000.0,500000.0,2200000.0,3.3,"Based on 317 User
Reviews",391.0,E078,100.0
#59,"Atria Institute of Technology, Bangalore",https://collegedunia.com/college/12906-atria-institute-of-technology-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A++,942440.0,1032000.0,3000000.0,3.6,"Based on 133 User
Reviews",392.0,E008,100.0
#60,"KS Institute of Technology - [KSIT], Bangalore",https://collegedunia.com/college/28606-ks-institute-of-technology-ksit-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A+,880000.0,,,3.5,"Based on 65 User
Reviews",396.0,E008,100.0
#62,"Vidya Vikas Institute of Engineering and Technology - [VVIET], Mysore",https://collegedunia.com/college/24594-vidya-vikas-institute-of-engineering-and-technology-vviet-mysore,"Mysore, Karnataka","AICTE, NBA Approved",B+,409640.0,750000.0,,3.9,"Based on 58 User
Reviews",401.0,E077,100.0
#63,"Government Engineering College - [GECH], Hassan",https://collegedunia.com/college/13617-government-engineering-college-gech-hassan,"Hassan, Karnataka",AICTE Approved,,163000.0,320000.0,500000.0,3.9,"Based on 23 User
Reviews",404.0,E155,100.0
#64,"Sai Vidya Institute of Technology - [SVIT], Bangalore",https://collegedunia.com/college/14901-sai-vidya-institute-of-technology-svit-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A,,543000.0,2000000.0,4.3,"Based on 220 User
Reviews",405.0,E008,100.0
#65,"Maharaja Institute of Technology - [MIT], Mysore",https://collegedunia.com/college/14197-maharaja-institute-of-technology-mit-mysore,"Mysore, Karnataka","AICTE, NBA Approved",B++,880000.0,517958.0,700000.0,3.9,"Based on 92 User
Reviews",407.0,E158,100.0
#66,"Don Bosco Institute of Technology - [DBIT], Bangalore",https://collegedunia.com/college/13359-don-bosco-institute-of-technology-dbit-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A,1124400.0,3000000.0,,3.7,"Based on 177 User
Reviews",410.0,E008,100.0
#67,"GM University, Davanagere",https://collegedunia.com/university/13507-gm-university-davanagere,"Davanagere, Karnataka","AICTE, UGC, NBA Approved",B++,1040000.0,,,3.8,"Based on 62 User
Reviews",411.0,E114,100.0
